ResponseId,Career_level,Research_approach,Discipline,Discipline_category,Awareness_Open_Research,Awareness_Preregistration,Awareness_Open_Material,Awareness_Open_Protocols,Awareness_Open_Data,Awareness_FAIR_Data,Awareness_Open_Code/Software,Awareness_Preprints,Awareness_Open_Peer_Review,Awareness_Open_Access,Awareness_Replication_Studies,Awareness_Co-production,Awareness_Recognising_Contributions,Awareness_Citizen_Science,Use_Open_Research,Use_Preregistration,Use_Open_Material,Use_Open_Protocols,Use_Open_Data,Use_FAIR_Data,Use_Open_Code/Software,Use_Preprints,Use_Open_Peer_Review,Use_Open_Access,Use_Replication_Studies,Use_Co-production,Use_Recognising_Contributions,Use_Citizen_Science,Attitudes_Usefulness,Attitudes_Participation,Attitudes_Confidence,Attitudes_Comprehension,Attitudes_Support,Attitudes_Training,Attitudes_Norms,Attitudes_Resources,Attitudes_Assessment,Facilitators_Guidance,Facilitators_Training,Facilitators_Ethical_clarity,Facilitators_Prioritisation,Facilitators_Infrastructure,Facilitators_Time_allocation,Facilitators_Incentives,Facilitators_Recognition,Facilitators_Peer_support,Facilitators_Disciplinary_norms,Facilitators_No_intention,Facilitators_Already_engaged,Facilitators_Something_else,Methods_Archival_/_primary_source,Methods_Case_study_analysis,Methods_Experimental_methods,Methods_Interview_methods,Methods_Meta-analysis_/_research_synthesis,Methods_Observational_methods,Methods_Practise-based_research,Methods_Probabilistic_/_simulation_methods,Methods_Secondary_source_analysis,Methods_Survey_based_methods,Methods_Theoretical_research,Methods_Other
R_81u95q2euKrp3UF,Junior,Quantitative,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I have used it,I have used it,I have NOT used it,I have used it,I have NOT used it,I have NOT used it,I use it often,I have used it,I have NOT used it,I have used it,I have NOT used it,I have NOT used it,I have used it,I have NOT used it,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Not applicable,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_8KJAtc5GaD8asEP,Senior,Quantitative,Engineering and technology,Physical Sciences,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I have used it,Not applicable to my research,I have used it,Not applicable to my research,I use it often,I have used it,I have used it,I have used it,I have NOT used it,I use it often,Not applicable to my research,Not applicable to my research,I have NOT used it,Not applicable to my research,Neutral,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
R_2edHmu5xZVjicSd,Junior,Quantitative,Engineering and technology,Physical Sciences,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I have NOT used it,I have NOT used it,I have used it,I have used it,I have used it,I have NOT used it,I have used it,I have used it,I have NOT used it,I use it often,I have NOT used it,I have NOT used it,I have used it,Not applicable to my research,Strongly agree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Neutral,Strongly disagree,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
R_2CwAyxuFqRprXJo,Senior,Quantitative,Engineering and technology,Physical Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,I have used it,I use it often,I have used it,I use it often,I use it often,I have used it,I use it often,I use it often,I use it often,I have used it,I use it often,I use it often,Not applicable to my research,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Neutral,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
R_8feeyyKLaRno8rD,Mid,Both,Veterinary sciences,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,I have used it,I use it often,I have NOT used it,I use it often,I have NOT used it,I use it often,I have NOT used it,I have used it,I use it often,I have used it,Not applicable to my research,I use it often,Not applicable to my research,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
R_8JXXaLFCiaEeEBR,Junior,Quantitative,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I have used it,I have NOT used it,I have used it,I have used it,I have NOT used it,I have NOT used it,I use it often,I use it often,I have NOT used it,I use it often,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Not applicable,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_8zlLu6sRzMfNf2N,Senior,Quantitative,Physical sciences,Physical Sciences,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,I use it often,I have NOT used it,I use it often,I have NOT used it,I use it often,I have NOT used it,I use it often,I have used it,I have used it,I use it often,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_2OSHRRezHcDXIi1,Junior,Quantitative,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,I have used it,I use it often,I have used it,I use it often,I have NOT used it,I use it often,I use it often,I have used it,I use it often,Not applicable to my research,I use it often,I have used it,Not applicable to my research,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
R_85XzrAdZcxqcAiz,Senior,Quantitative,Medicine and dentistry,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,I have used it,I have used it,I have used it,I have used it,I use it often,NA,Not applicable to my research,I use it often,I have used it,I use it often,NA,I have NOT used it,I have used it,Not applicable to my research,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
R_2Duq8vFpYDBRAy7,Junior,Qualitative,Medicine and dentistry,Health & Biological Sciences,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,I have used it,I have used it,NA,NA,NA,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Neutral,Somewhat disagree,Neutral,Neutral,Somewhat disagree,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_2QM1eI0hsNFWHSy,Junior,Quantitative,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I use it often,I use it often,I use it often,I use it often,I use it often,I have NOT used it,I use it often,I use it often,I have NOT used it,I use it often,I use it often,I have used it,I use it often,Not applicable to my research,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
R_8GZbIxwnK86LtDQ,Junior,Both,Physical sciences,Physical Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I have used it,Not applicable to my research,Not applicable to my research,I have used it,Not applicable to my research,Not applicable to my research,I have used it,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,I have used it,I have used it,Not applicable to my research,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Not applicable,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
R_8M51CUNpDtus3E9,Mid,Quantitative,Biosciences,Health & Biological Sciences,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,I use it often,I have used it,I have used it,Not applicable to my research,I use it often,I have NOT used it,I use it often,I have NOT used it,I have NOT used it,I use it often,Not applicable to my research,Not applicable to my research,I use it often,I have NOT used it,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Strongly disagree,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
R_82KpSdSrIYDET1Q,Senior,Quantitative,Biosciences,Health & Biological Sciences,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,I have NOT used it,I use it often,I use it often,I use it often,I use it often,I use it often,I have NOT used it,I have used it,I use it often,I have NOT used it,I have used it,I use it often,I have NOT used it,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_2X0BLx28HSjLzdR,Junior,Qualitative,Business and management,Social Sciences,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,I have used it,Not applicable to my research,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,Not applicable to my research,I have NOT used it,I have NOT used it,I use it often,Not applicable to my research,I have NOT used it,I have NOT used it,I have NOT used it,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
R_8PpIXPJKy5VkSNW,Senior,Quantitative,Computing and information sciences,Physical Sciences,Yes,Yes,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I use it often,I have used it,Not applicable to my research,Not applicable to my research,I use it often,I use it often,I use it often,I use it often,I have used it,I use it often,I use it often,I use it often,I have used it,Not applicable to my research,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
R_8tD0patwecKGKI1,Junior,Qualitative,Psychology and neuroscience,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,Not applicable to my research,I use it often,I have NOT used it,I use it often,NA,I have NOT used it,I use it often,I use it often,I use it often,Not applicable to my research,I use it often,I use it often,I use it often,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not applicable,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
R_839D8oAtYhNCkz0,Junior,Both,Engineering and technology,Physical Sciences,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,I have NOT used it,I have used it,I use it often,I use it often,I have NOT used it,I have NOT used it,I have NOT used it,I have used it,I use it often,I have used it,I have used it,I use it often,I have NOT used it,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
R_2DvFeQaiQac478B,Junior,Quantitative,Biosciences,Health & Biological Sciences,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,I have used it,I have NOT used it,I use it often,I have used it,I use it often,I have used it,I use it often,I use it often,I have NOT used it,I use it often,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Neutral,Not applicable,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_8wh6EbCFshNG3NO,Junior,Qualitative,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,I have NOT used it,I have NOT used it,I have NOT used it,I use it often,I use it often,I use it often,I use it often,I have used it,I use it often,I have NOT used it,I have NOT used it,I have used it,I have NOT used it,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Not applicable,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
R_86DNONc9sIHLUXL,Junior,Neither,Mathematical sciences,Physical Sciences,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,I use it often,I have NOT used it,Not applicable to my research,I have NOT used it,I use it often,I have used it,I use it often,I use it often,I have NOT used it,I use it often,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Not applicable,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
R_2ldWtvqXLKLSyGt,Senior,Quantitative,Biosciences,Health & Biological Sciences,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,I have NOT used it,I use it often,NA,I use it often,NA,I use it often,I have used it,I have used it,I use it often,I have NOT used it,I have NOT used it,I use it often,I have used it,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
R_2Rw3QAHd2PkbFEC,Mid,Qualitative,Communications and media,Arts and Humanities,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,I use it often,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Neutral,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
